CustomerID,Name,Region,JoinDate,LoyaltyPoints,PreferredContactMethod
1001,William White,East,11/11/2021,350,email
1002,Wylie Coyote,East,2/14/2023,350,text
1010,Hermione Granger,East,12/9/2022,275,email
1011,Hermione Grager,East,12/9/2022,100,email
1005,Dr Who,North,8/18/2023,50,text
1008,Tony Stark,North,5/1/2020,500,text
1006,Tiffany James,South,6/7/2021,400,text
1007,Susan Johnson,South,6/30/2023,100,email
1003,Dan Brown,West,10/19/2023,125,text
1004,Chewbacca,West,11/9/2022,250,text
1009,Jason Bourne,West,12/1/2020,550,text
